City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Sinnamary,GF,75.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
583,Alyangula,AU,87.67,light rain,-13.8483,136.4192,Groote Eylandt Lodge
584,Cerro Largo,BR,83.75,scattered clouds,-28.1486,-54.7381,Hotel Missões
587,Tabou,CI,76.35,few clouds,4.423,-7.3528,hotêl doufoulougou
590,Itarema,BR,76.89,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
597,Ternate,ID,82.56,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
603,Vao,NC,78.15,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
609,Port-Gentil,GA,76.55,light rain,-0.7193,8.7815,Fengshui Residence
610,Dalby,AU,77.7,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
616,Rantepao,ID,77.45,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
621,Morondava,MG,76.64,light rain,-20.2833,44.2833,La Case Bambou
636,Guaruja,BR,80.89,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
645,Santa Rosa,PH,85.08,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
