,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Jiwani,PK,25.05,61.7417,72.97,85,65,16.24,broken clouds
123,Tura,IN,25.5198,90.2201,67.98,51,33,3.4,scattered clouds
124,Auki,SB,-8.7676,160.7034,83.39,80,95,7.87,overcast clouds
125,Xicotencatl,MX,23.0167,-98.8833,70.2,91,76,4.09,broken clouds
126,Linhares,BR,-19.3911,-40.0722,72.18,96,7,0.96,clear sky
127,Hithadhoo,MV,-0.6,73.0833,81.41,74,100,6.6,moderate rain
128,Bondo,CD,3.8146,23.6866,65.93,96,26,2.95,scattered clouds
129,Sharanga,RU,57.1775,46.5396,10.9,90,100,11.56,snow
130,Sioux Lookout,CA,50.1001,-91.917,-18.02,76,0,5.75,clear sky
131,Lavrentiya,RU,65.5833,-171.0,-19.07,92,22,7.56,few clouds
132,Miraflores,MX,19.2167,-98.8083,63.03,64,70,2.01,broken clouds
133,Fortuna,US,40.5982,-124.1573,49.93,95,100,0.0,overcast clouds
134,Atuona,PF,-9.8,-139.0333,79.02,75,18,18.86,few clouds
135,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,88,40,19.62,scattered clouds
136,Kasane,BW,-17.8167,25.15,68.09,100,75,6.91,broken clouds
137,Banda Aceh,ID,5.5577,95.3222,82.83,66,30,4.16,scattered clouds
138,Altamira,BR,-3.2033,-52.2064,70.63,99,70,2.84,broken clouds
139,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,12.66,scattered clouds
140,Dunedin,NZ,-45.8742,170.5036,56.8,61,99,8.99,overcast clouds
141,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,0,10.36,clear sky
142,Dok Kham Tai,TH,19.1624,99.9934,75.7,58,6,3.56,clear sky
143,Phan Thiet,VN,10.9333,108.1,85.35,47,45,6.82,scattered clouds
144,Whitley Bay,GB,55.0397,-1.4471,39.11,67,75,9.22,broken clouds
145,Puerto Quijarro,BO,-17.7833,-57.7667,75.7,82,58,2.82,broken clouds
146,Makakilo City,US,21.3469,-158.0858,77.32,70,0,4.61,clear sky
147,Ust-Nera,RU,64.5667,143.2,-28.5,88,5,4.25,clear sky
148,Vardo,NO,70.3705,31.1107,21.4,72,4,17.9,clear sky
149,Busselton,AU,-33.65,115.3333,101.08,28,0,8.28,clear sky
150,Bud,US,39.447,-86.1758,24.24,74,100,13.44,overcast clouds
151,Rocha,UY,-34.4833,-54.3333,70.0,99,84,2.19,broken clouds
152,Vostok,RU,46.4856,135.8833,-0.15,89,100,4.27,overcast clouds
153,Los Santos,PA,7.9333,-80.4167,75.42,79,18,16.62,few clouds
154,Victoria,HK,22.2855,114.1577,71.96,69,41,10.0,scattered clouds
155,Pochutla,MX,15.7432,-96.4661,73.81,77,82,3.29,broken clouds
156,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,13.29,snow
157,Khatra,IN,22.9833,86.85,65.3,26,7,3.78,clear sky
158,Linxia,CN,35.6003,103.2064,37.54,32,100,4.47,overcast clouds
159,Ewo,CG,-0.8725,14.8206,72.84,79,99,1.07,overcast clouds
160,Pevek,RU,69.7008,170.3133,-39.05,97,46,3.69,scattered clouds
161,Kashi,CN,39.4547,75.9797,33.01,34,0,6.71,clear sky
162,Kushima,JP,31.4583,131.2333,51.84,41,6,9.98,clear sky
163,Bongandanga,CD,1.5,21.05,69.49,66,76,1.45,broken clouds
164,Norman Wells,CA,65.282,-126.8329,-29.16,68,40,3.44,scattered clouds
165,Tezu,IN,27.9167,96.1667,70.16,29,24,4.0,few clouds
166,Sanchi,IN,23.4833,77.7333,65.52,34,0,4.79,clear sky
167,Ayan,RU,56.45,138.1667,3.63,75,54,0.78,broken clouds
168,Port Alfred,ZA,-33.5906,26.891,68.38,85,53,12.03,broken clouds
169,Salaga,GH,8.5508,-0.5188,74.21,18,42,7.18,scattered clouds
170,Torbay,CA,47.6666,-52.7314,28.58,78,75,32.21,broken clouds
171,Betare Oya,CM,5.6,14.0833,63.7,28,15,5.35,few clouds
172,Igrim,RU,63.1906,64.4162,16.52,89,100,10.04,overcast clouds
173,Kapaa,US,22.0752,-159.319,76.12,77,0,8.05,clear sky
174,Dikson,RU,73.5069,80.5464,-5.12,94,100,13.58,overcast clouds
175,Kemi,FI,65.8596,24.8228,28.17,69,0,16.11,clear sky
176,Redmond,US,47.674,-122.1215,50.23,88,100,1.99,light rain
177,Ostersund,SE,63.1792,14.6357,25.61,63,35,23.02,scattered clouds
178,Hashtrud,IR,37.4779,47.0508,12.97,93,100,3.02,light snow
179,Mitsamiouli,KM,-11.3847,43.2844,82.69,78,75,11.5,light rain
180,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,56,5.75,mist
181,Korcula,HR,42.9622,17.1369,34.36,63,5,11.43,clear sky
182,Saldanha,ZA,-33.0117,17.9442,59.05,84,10,12.75,clear sky
183,Kyabram,AU,-36.3167,145.05,87.21,16,0,8.63,clear sky
184,Port Augusta,AU,-32.5,137.7667,95.7,33,48,17.31,scattered clouds
